 Instalações sanitárias - Brasil
Domicílios por Unidade da Federação e Instalações sanitárias
Período:2010
"Unidade da Federação";"Rede geral de esgoto ou pluvial";"Fossa séptica";"Fossa rudimendar";"Vala";"Rio, lago ou mar";"Outro escoadouro";"Não tem instalação sanitária";"Total"
"11 Rondônia";27637;73113;326457;7779;3481;9892;7240;455599
"12 Acre";46550;23123;52829;26376;4450;20537;16780;190645
"13 Amazonas";210575;141775;273525;52452;41149;39672;40481;799629
"14 Roraima";17660;33991;50129;1829;364;5247;6624;115844
"15 Pará";189398;388597;893527;132099;36024;141654;77866;1859165
"16 Amapá";10422;26417;86453;5242;19122;5448;3180;156284
"17 Tocantins";53611;62033;235261;6163;467;9146;31686;398367
"21 Maranhão";192625;248163;746505;125581;13483;99316;228028;1653701
"22 Piauí";59346;187214;396572;14911;1725;19491;169004;848263
"23 Ceará";774879;251195;1074455;39674;17071;36718;171284;2365276
"24 Rio Grande do Norte";226028;180783;449534;12425;3054;10284;17405;899513
"25 Paraíba";431659;101042;411460;40416;14676;21622;59797;1080672
"26 Pernambuco";1111725;291043;781160;107692;79494;51385;124373;2546872
"27 Alagoas";180616;94540;457177;24080;16598;16268;53605;842884
"28 Sergipe";233518;63106;246744;12492;7674;9903;17878;591315
"29 Bahia";1858998;260445;1399964;111277;65307;74067;324347;4094405
"31 Minas Gerais";4543436;195260;830492;66027;276391;40889;75728;6028223
"32 Espírito Santo";743536;71404;191851;37175;48174;4627;4627;1101394
"33 Rio de Janeiro";4015702;503123;298652;245005;150145;23670;6714;5243011
"35 São Paulo";11124904;603553;601433;129676;304899;53140;9548;12827153
"41 Paraná";1759006;384038;1063181;34332;29397;16612;12012;3298578
"42 Santa Catarina";579576;947168;384013;44168;24524;7887;5761;1993097
"43 Rio Grande do Sul";1731575;952483;743237;104633;24334;19728;23614;3599604
"50 Mato Grosso do Sul";183694;110444;449035;5081;958;7325;2762;759299
"51 Mato Grosso";177689;151101;556313;6010;4611;6763;12602;915089
"52 Goiás";679347;243154;936651;4410;5144;6153;11405;1886264
"53 Distrito Federal";623154;65109;84020;561;125;411;641;774021
"Total";31786866;6653417;14020630;1397566;1192841;757855;1514992;57324167
 Fonte: IBGE - Censos Demográficos de 1991, 2000 e 2010
