 Abastecimento de água - Brasil
Domicílios por Unidade da Federação e Abastecimento de água
Período:2010
"Unidade da Federação";"Rede geral - sem informação de canalização";"Poço ou nascente - sem informação de canalização";"Outra forma - Poço ou nascente fora da propriedade";"Outra forma - Carro-pipa";"Outra forma - Água da chuva armazenada em cisterna";"Outra forma - Água da chuva armazenada outra forma";"Outra forma - Rio, açude, lago ou igarapé";"Outra forma - Poço ou nascente na aldeia";"Outra forma - Poço ou nascente fora da aldeia";"Outra forma - Outra";"Total"
"11 Rondônia";175418;258708;16523;178;14;27;3517;203;-;1011;455599
"12 Acre";90121;74883;8732;1216;62;131;12484;623;38;2355;190645
"13 Amazonas";516260;102935;76989;273;973;6426;86134;1343;175;8121;799629
"14 Roraima";94101;14435;1866;34;7;26;4156;647;203;369;115844
"15 Pará";891368;684490;147533;4624;616;593;114386;893;24;14638;1859165
"16 Amapá";85241;57899;6543;71;94;53;5226;46;-;1111;156284
"17 Tocantins";313277;62717;8482;123;1067;52;9959;452;4;2234;398367
"21 Maranhão";1089506;269372;227118;6976;675;358;34522;877;98;24199;1653701
"22 Piauí";612602;81213;88803;14408;20410;839;15424;-;-;14564;848263
"23 Ceará";1826549;221161;138350;31662;21421;1815;88682;170;7;35459;2365276
"24 Rio Grande do Norte";776979;26144;35152;19001;10408;840;13250;-;-;17739;899513
"25 Paraíba";829018;57089;50988;28562;44399;3752;45348;645;38;20833;1080672
"26 Pernambuco";1936160;196922;133396;75885;61729;7237;68966;1346;90;65141;2546872
"27 Alagoas";578387;76283;103449;8919;26189;2751;22693;93;7;24113;842884
"28 Sergipe";493997;33499;24804;2566;12138;1595;7802;-;-;14914;591315
"29 Bahia";3289521;219807;207888;60661;111847;18097;110685;594;2;75303;4094405
"31 Minas Gerais";5200911;501492;237349;9101;15094;1162;46354;708;200;15852;6028223
"32 Espírito Santo";923363;142161;30582;645;300;36;1924;90;-;2293;1101394
"33 Rio de Janeiro";4434277;595801;132927;28966;2583;911;5246;59;-;42241;5243011
"35 São Paulo";12192203;465010;106689;9052;715;890;10479;285;39;41791;12827153
"41 Paraná";2904851;292852;89611;352;172;189;4263;925;8;5355;3298578
"42 Santa Catarina";1624058;262208;98112;154;310;240;3653;69;-;4293;1993097
"43 Rio Grande do Sul";3071715;405259;103515;1634;1104;602;2455;421;4;12895;3599604
"50 Mato Grosso do Sul";629257;102504;15582;429;111;73;4158;4158;30;2997;759299
"51 Mato Grosso";682805;191321;24206;1977;201;129;9735;1123;60;3532;915089
"52 Goiás";1495932;330792;36444;1231;6078;134;10808;2;-;4843;1886264
"53 Distrito Federal";736148;23518;12742;180;288;23;315;-;-;807;774021
"Total";47494025;5750475;2164375;308880;339005;48981;742624;15772;1027;459003;57324167
 Fonte: IBGE - Censos Demográficos de 1991, 2000 e 2010
