 Procedimentos hospitalares do SUS - por local de residência - Brasil
Valor total por Unidade da Federação e Ano/mês atendimento
Período:Jan-Set/2020
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"Total"
"11 Rondônia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3593,34;-;-;-;-;-;5127,22;14807,96;20983,20;155766,04;1166389,75;2568250,29;6076265,54;8810960,21;8622939,37;7768652,42;7484245,02;9023178,03;10852613,15;8914933,78;7596727,92;2931408,07;82016841,31
"12 Acre";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22908,08;98654,36;115052,11;297687,44;694801,08;1248059,02;2244305,09;3496073,45;3253271,76;3181587,48;2596984,63;2619467,00;2707979,40;2580971,45;1804642,24;44234,08;27006678,67
"13 Amazonas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1521,50;78770,35;184186,67;1296404,47;4936624,45;11570029,63;16992004,85;15643731,75;15617733,72;16688195,03;19864416,98;18280203,56;17014668,00;13411098,25;4974840,99;156554430,20
"14 Roraima";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33448,83;140382,22;622648,57;1749531,47;3495588,06;3268156,25;3233702,03;2396870,80;3128317,29;3369873,30;3214185,63;2724031,33;1548381,60;28925117,38
"15 Pará";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;324,90;-;-;-;-;10437,56;23658,41;186174,42;788963,60;4773764,17;10452469,43;21692400,82;37703983,29;35699543,84;35290836,71;29136155,94;42129665,39;37567623,25;31928762,76;20329019,67;4598013,47;312311797,63
"16 Amapá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;444,96;76919,86;300499,54;1107625,07;2501367,07;2364732,82;2294644,68;1813974,58;2774597,28;2714758,66;2422403,76;2051273,76;710513,25;21133755,29
"17 Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23314,34;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1159,50;-;-;-;-;-;138778,13;146296,08;628596,51;2857172,90;4292208,56;6019383,23;7682708,10;7697005,76;7314403,13;6506807,86;7145587,11;5302755,53;4861648,55;3078269,18;739754,72;64435849,19
"21 Maranhão";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13170,85;10785,18;-;-;-;-;-;-;-;13170,85;-;-;-;13170,85;-;-;-;-;-;19347,14;-;-;-;-;92195,95;-;13170,85;-;13170,85;-;-;-;13170,85;-;-;-;25794,98;13170,85;-;13170,85;13170,85;-;13170,85;26341,70;13170,85;13170,85;13170,85;-;26341,70;13170,85;52683,40;-;22017,68;13170,85;13170,85;26341,70;13170,85;-;-;-;65605,74;54472,64;13170,85;-;11729,51;-;-;-;-;25794,98;-;-;212,50;7350,09;-;-;29437,59;36330,47;72261,56;45352,48;511095,65;2040484,74;6343246,10;17535625,56;32465375,02;29743340,41;29823077,38;24818511,27;34540989,05;34665655,50;30031388,83;22915671,27;9827629,34;276149562,41
"22 Piauí";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13618,16;-;-;-;-;-;-;-;-;-;-;-;-;13618,16;-;-;68090,80;-;-;-;-;-;-;-;10337,87;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27236,32;-;-;-;-;-;-;-;-;-;-;3031,78;-;-;-;-;-;-;13618,16;-;12624,13;-;13618,16;7355,79;-;-;13618,16;-;13618,16;-;27236,32;-;-;-;-;13618,16;-;13618,16;-;-;-;-;-;13170,85;-;-;5665,95;-;13618,16;-;-;13618,16;13618,16;-;13618,16;-;-;-;-;-;13618,16;9989,96;20775,14;13618,16;-;-;-;-;18097,62;-;18097,62;45155,02;46829,55;12689,54;6076,57;18956,26;61324,53;22577,51;70487,71;424140,04;1510065,86;2180174,54;7052794,77;17011657,94;15770927,49;15091311,32;11788151,03;14516825,09;16442528,10;20703330,49;14065698,43;7084670,29;144358736,47
"23 Ceará";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40854,48;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13618,16;-;-;5566,54;-;-;-;-;-;13618,16;5864,75;-;25447,07;13618,16;16351,73;-;-;3727,60;-;-;-;-;-;-;13618,16;-;13618,16;12269,07;159767,09;298,20;36139,18;21680,22;13775,38;265739,81;1177283,41;4305773,31;12584106,11;22198955,34;33654779,82;52700890,46;48335395,01;46656594,54;44129678,58;57020412,09;50745701,92;43245890,91;29501153,16;13813962,49;460746149,07
